Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.055	0.065	0.1306	0.2283	0.129	0.9948	0.0046	0.75	0.0023	
0.055	0.07	0.13	0.2273	0.1284	0.9896	0.0046	0.6	0.0023	
0.055	0.075	0.1279	0.2241	0.1266	0.974	0.0046	0.375	0.0023	
0.055	0.08	0.1273	0.2202	0.1245	0.9531	0.0092	0.4	0.0046	
0.055	0.085	0.1293	0.2206	0.1247	0.9531	0.0137	0.5	0.007	
0.055	0.09	0.1313	0.2191	0.124	0.9427	0.0212	0.56	0.0108	
0.055	0.095	0.1293	0.2159	0.1222	0.9271	0.0212	0.5	0.0108	
0.055	0.1	0.13	0.216	0.1223	0.9271	0.0227	0.5172	0.0116	
0.055	0.105	0.13	0.2151	0.1217	0.9219	0.0242	0.5161	0.0124	
0.055	0.11	0.1293	0.214	0.1211	0.9167	0.0242	0.5	0.0124	
0.055	0.115	0.1286	0.2129	0.1205	0.9115	0.0241	0.4848	0.0124	
0.055	0.12	0.1286	0.2129	0.1205	0.9115	0.0241	0.4848	0.0124	
0.055	0.125	0.1273	0.2107	0.1193	0.901	0.0241	0.4571	0.0124	
0.055	0.13	0.1273	0.2107	0.1193	0.901	0.0241	0.4571	0.0124	
0.055	0.135	0.1273	0.2107	0.1193	0.901	0.0241	0.4571	0.0124	
0.055	0.14	0.1259	0.2085	0.1181	0.8906	0.0241	0.4324	0.0124	
0.055	0.145	0.1259	0.2085	0.1181	0.8906	0.0241	0.4324	0.0124	
0.055	0.15	0.1259	0.2085	0.1181	0.8906	0.0241	0.4324	0.0124	
0.06	0.04	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.06	0.045	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.06	0.05	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.06	0.055	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.06	0.06	0.13	0.2282	0.1289	0.9948	0.0031	0.6667	0.0015	
0.06	0.065	0.1306	0.2283	0.129	0.9948	0.0046	0.75	0.0023	
0.06	0.07	0.13	0.2273	0.1284	0.9896	0.0046	0.6	0.0023	
0.06	0.075	0.1273	0.223	0.126	0.9688	0.0046	0.3333	0.0023	
0.06	0.08	0.1273	0.2193	0.124	0.9479	0.0107	0.4118	0.0054	
0.06	0.085	0.13	0.2198	0.1243	0.9479	0.0167	0.5238	0.0085	
0.06	0.09	0.132	0.2174	0.123	0.9323	0.0257	0.5667	0.0131	
0.06	0.095	0.1313	0.2144	0.1214	0.9167	0.0286	0.5429	0.0147	
0.06	0.1	0.1327	0.2146	0.1215	0.9167	0.0316	0.5676	0.0162	
0.06	0.105	0.1327	0.2137	0.121	0.9115	0.033	0.5641	0.017	
0.06	0.11	0.132	0.2126	0.1204	0.9062	0.033	0.55	0.017	
0.06	0.115	0.1313	0.2115	0.1198	0.901	0.033	0.5366	0.017	
0.06	0.12	0.1313	0.2115	0.1198	0.901	0.033	0.5366	0.017	
0.06	0.125	0.13	0.2093	0.1186	0.8906	0.0329	0.5116	0.017	
0.06	0.13	0.13	0.2093	0.1186	0.8906	0.0329	0.5116	0.017	
0.06	0.135	0.13	0.2093	0.1186	0.8906	0.0329	0.5116	0.017	
0.06	0.14	0.1286	0.2071	0.1174	0.8802	0.0329	0.4889	0.017	
0.06	0.145	0.1286	0.2071	0.1174	0.8802	0.0329	0.4889	0.017	
0.06	0.15	0.1286	0.2071	0.1174	0.8802	0.0329	0.4889	0.017	
0.065	0.04	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.065	0.045	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.065	0.05	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.065	0.055	0.1306	0.2293	0.1295	1.0	0.0031	1.0	0.0015	
0.065	0.06	0.13	0.2282	0.1289	0.9948	0.0031	0.6667	0.0015	
0.065	0.065	0.1306	0.2283	0.129	0.9948	0.0046	0.75	0.0023	
0.065	0.07	0.13	0.2273	0.1284	0.9896	0.0046	0.6	0.0023	
0.065	0.075	0.1273	0.223	0.126	0.9688	0.0046	0.3333	0.0023	
0.065	0.08	0.1266	0.2182	0.1234	0.9427	0.0107	0.3889	0.0054	
0.065	0.085	0.13	0.2179	0.1233	0.9375	0.0197	0.52	0.0101	
0.065	0.09	0.1347	0.215	0.1218	0.9167	0.036	0.6	0.0186	
0.065	0.095	0.1367	0.2116	0.1199	0.8958	0.0461	0.6078	0.024	
0.065	0.1	0.1387	0.211	0.1197	0.8906	0.0519	0.625	0.0271	
0.065	0.105	0.1387	0.21	0.1191	0.8854	0.0533	0.6207	0.0278	
0.065	0.11	0.138	0.2089	0.1185	0.8802	0.0533	0.6102	0.0278	
0.065	0.115	0.1374	0.2078	0.1179	0.875	0.0532	0.6	0.0278	
0.065	0.12	0.1374	0.2078	0.1179	0.875	0.0532	0.6	0.0278	
0.065	0.125	0.136	0.2056	0.1167	0.8646	0.0531	0.5806	0.0278	
0.065	0.13	0.136	0.2056	0.1167	0.8646	0.0531	0.5806	0.0278	
0.065	0.135	0.136	0.2056	0.1167	0.8646	0.0531	0.5806	0.0278	
0.065	0.14	0.1347	0.2033	0.1154	0.8542	0.0531	0.5625	0.0278	
0.065	0.145	0.1347	0.2033	0.1154	0.8542	0.0531	0.5625	0.0278	
0.065	0.15	0.1347	0.2033	0.1154	0.8542	0.0531	0.5625	0.0278	
0.07	0.04	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.07	0.045	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.07	0.05	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.07	0.055	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.07	0.06	0.1306	0.2283	0.129	0.9948	0.0046	0.75	0.0023	
0.07	0.065	0.1313	0.2285	0.1291	0.9948	0.0062	0.8	0.0031	
0.07	0.07	0.13	0.2254	0.1274	0.9792	0.0077	0.5556	0.0039	
0.07	0.075	0.1266	0.2201	0.1244	0.9531	0.0077	0.3571	0.0039	
0.07	0.08	0.1266	0.2154	0.1218	0.9271	0.0152	0.4167	0.0077	
0.07	0.085	0.1313	0.2144	0.1214	0.9167	0.0286	0.5429	0.0147	
0.07	0.09	0.138	0.2109	0.1196	0.8906	0.0504	0.6182	0.0263	
0.07	0.095	0.1414	0.2066	0.1173	0.8646	0.0646	0.6286	0.034	
0.07	0.1	0.1461	0.2055	0.1168	0.8542	0.0771	0.6543	0.041	
0.07	0.105	0.1455	0.2034	0.1156	0.8438	0.0784	0.6429	0.0418	
0.07	0.11	0.1441	0.2011	0.1144	0.8333	0.0783	0.6279	0.0418	
0.07	0.115	0.1434	0.2	0.1137	0.8281	0.0783	0.6207	0.0418	
0.07	0.12	0.1434	0.2	0.1137	0.8281	0.0783	0.6207	0.0418	
0.07	0.125	0.1421	0.1977	0.1125	0.8177	0.0781	0.6067	0.0418	
0.07	0.13	0.1407	0.1955	0.1112	0.8073	0.078	0.5934	0.0418	
0.07	0.135	0.1407	0.1955	0.1112	0.8073	0.078	0.5934	0.0418	
0.07	0.14	0.1394	0.1932	0.1099	0.7969	0.0779	0.5806	0.0418	
0.07	0.145	0.1394	0.1932	0.1099	0.7969	0.0779	0.5806	0.0418	
0.07	0.15	0.1394	0.1932	0.1099	0.7969	0.0779	0.5806	0.0418	
0.075	0.04	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.075	0.045	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.075	0.05	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.075	0.055	0.1313	0.2294	0.1296	1.0	0.0046	1.0	0.0023	
0.075	0.06	0.1313	0.2285	0.1291	0.9948	0.0062	0.8	0.0031	
0.075	0.065	0.132	0.2286	0.1291	0.9948	0.0077	0.8333	0.0039	
0.075	0.07	0.1306	0.2246	0.127	0.974	0.0107	0.5833	0.0054	
0.075	0.075	0.1279	0.2194	0.1241	0.9479	0.0122	0.4444	0.0062	
0.075	0.08	0.13	0.2151	0.1217	0.9219	0.0242	0.5161	0.0124	
0.075	0.085	0.1374	0.2146	0.1216	0.9115	0.0433	0.6304	0.0224	
