Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.02	0.18	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.182	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.184	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.186	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.188	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.19	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.192	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.194	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.196	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.198	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.2	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.02	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.022	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.024	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.026	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.028	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.03	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.032	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.034	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.036	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.038	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.04	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.042	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.044	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.046	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.048	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.05	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.022	0.052	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
