Path	Red F1
LOSS0.84_8DBS4.62_8CHS2961.22_LATENT8_STDEV0.1_BS128_E1_LR0.001_ACTrelu	0.2287	
LOSS0.85_8DBS5.26_8CHS2326.21_LATENT8_STDEV0.1_BS128_E5_LR0.0005_ACTrelu	0.2287	
LOSS0.86_8DBS5.14_8CHS2677.64_LATENT8_STDEV0.1_BS128_E30_LR0.0005_ACTrelu	0.229	
LOSS0.87_8DBS5.27_8CHS2788.25_LATENT8_STDEV0.1_BS128_E30_LR0.001_ACTtanh	0.2287	
LOSS0.8_8DBS5.46_8CHS2943.36_LATENT8_STDEV0.05_BS128_E10_LR0.0005_ACTtanh	0.2287	
LOSS0.91_8DBS4.99_8CHS2566.7_LATENT8_STDEV0.1_BS128_E1_LR0.0005_ACTtanh	0.2287	
LOSS0.92_8DBS6.71_8CHS1381.35_LATENT8_STDEV0.5_BS128_E5_LR0.01_ACTrelu	0.3289	
LOSS0.92_8DBS6.77_8CHS1360.23_LATENT8_STDEV0.5_BS128_E10_LR0.01_ACTtanh	0.2287	
LOSS0.93_8DBS6.87_8CHS1326.57_LATENT8_STDEV0.5_BS128_E30_LR0.01_ACTrelu	0.287	
LOSS0.94_8DBS5.25_8CHS2846.54_LATENT8_STDEV0.1_BS128_E10_LR0.0005_ACTtanh	0.2287	
LOSS0.94_8DBS7.08_8CHS1273.44_LATENT8_STDEV0.5_BS128_E5_LR0.005_ACTrelu	0.2287	
LOSS0.95_8DBS4.09_8CHS3924.91_LATENT8_STDEV0.05_BS128_E5_LR0.0005_ACTtanh	0.2287	
LOSS0.95_8DBS6.81_8CHS1343.42_LATENT8_STDEV0.5_BS128_E10_LR0.005_ACTrelu	0.2287	
LOSS0.96_8DBS4.81_8CHS3215.51_LATENT8_STDEV0.1_BS128_E5_LR0.0005_ACTtanh	0.2287	
LOSS0.96_8DBS4.92_8CHS2989.33_LATENT8_STDEV0.1_BS128_E10_LR0.0005_ACTrelu	0.2287	
LOSS0.97_8DBS7.65_8CHS1110.2_LATENT8_STDEV0.5_BS128_E1_LR0.01_ACTtanh	0.2287	
LOSS0.98_8DBS6.81_8CHS1350.04_LATENT8_STDEV0.5_BS128_E30_LR0.005_ACTrelu	0.2395	
LOSS0.98_8DBS6.92_8CHS1305.0_LATENT8_STDEV0.5_BS128_E5_LR0.01_ACTtanh	0.2287	
LOSS0.9_8DBS6.71_8CHS1384.52_LATENT8_STDEV0.5_BS128_E10_LR0.01_ACTrelu	0.2287	
LOSS1.01_8DBS6.82_8CHS1352.08_LATENT8_STDEV0.5_BS128_E30_LR0.01_ACTtanh	0.2888	
LOSS1.02_8DBS6.72_8CHS1386.5_LATENT8_STDEV0.5_BS128_E1_LR0.005_ACTrelu	0.2287	
LOSS1.03_8DBS4.11_8CHS3735.12_LATENT8_STDEV0.1_BS128_E1_LR0.0005_ACTrelu	0.2287	
LOSS1.03_8DBS6.59_8CHS1452.72_LATENT8_STDEV0.5_BS128_E1_LR0.005_ACTtanh	0.2287	
LOSS1.04_8DBS5.85_8CHS1870.95_LATENT8_STDEV0.1_BS128_E1_LR0.001_ACTtanh	0.2287	
LOSS1.05_8DBS7.18_8CHS1215.36_LATENT8_STDEV0.5_BS128_E10_LR0.005_ACTtanh	0.2287	
LOSS1.08_8DBS4.84_8CHS2863.49_LATENT8_STDEV0.05_BS128_E1_LR0.0005_ACTrelu	0.2526	
LOSS1.09_8DBS6.9_8CHS1314.61_LATENT8_STDEV0.5_BS128_E5_LR0.005_ACTtanh	0.2287	
LOSS1.0_8DBS6.59_8CHS1439.35_LATENT8_STDEV0.5_BS128_E1_LR0.01_ACTrelu	0.2287	
