Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.1	0.83	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.84	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.85	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.86	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.87	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.88	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.89	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.9	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.11	0.1	0.1455	0.2304	0.1304	0.9896	0.0394	0.9286	0.0201	
0.11	0.11	0.1556	0.2326	0.1318	0.9896	0.0614	0.9535	0.0317	
0.11	0.12	0.1603	0.2326	0.1319	0.9844	0.0729	0.9423	0.0379	
0.11	0.13	0.1636	0.2324	0.1318	0.9792	0.0814	0.9322	0.0425	
0.11	0.14	0.1643	0.2316	0.1314	0.974	0.0841	0.9194	0.0441	
0.11	0.15	0.163	0.2294	0.1302	0.9635	0.084	0.8906	0.0441	
0.11	0.16	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.17	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.18	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.19	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.2	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.21	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.22	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.23	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.24	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.25	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.26	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.27	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.28	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.29	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.3	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.31	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.32	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.33	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.34	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.35	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.36	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.37	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.38	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.39	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.4	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.41	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.42	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.43	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.44	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.45	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.46	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.47	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.48	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.49	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.5	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.51	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.52	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.53	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.54	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.55	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.56	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.57	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.58	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.59	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.6	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.61	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.62	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.63	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.64	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.65	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.66	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.67	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.68	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.69	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.7	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.71	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.72	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.73	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.74	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.75	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.76	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.77	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.78	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.79	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.8	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.81	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.82	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.83	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.84	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.85	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.86	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.87	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.88	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.89	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.9	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.12	0.1	0.1468	0.2307	0.1306	0.9896	0.0423	0.9333	0.0217	
0.12	0.11	0.1609	0.2337	0.1325	0.9896	0.0729	0.9608	0.0379	
0.12	0.12	0.1764	0.2361	0.1341	0.9844	0.1066	0.9605	0.0565	
0.12	0.13	0.1845	0.2369	0.1348	0.9792	0.1244	0.9556	0.0665	
0.12	0.14	0.1879	0.2357	0.1342	0.9688	0.1336	0.9394	0.0719	
0.12	0.15	0.1865	0.2335	0.1329	0.9583	0.1334	0.9208	0.0719	
0.12	0.16	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.17	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.18	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.19	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.2	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.21	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.22	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.23	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.24	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.25	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.26	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.27	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.28	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.29	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.3	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.31	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.32	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.33	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.34	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.35	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.36	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.37	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.38	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.39	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.4	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.41	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.42	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.43	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.44	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.45	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.46	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.47	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.48	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.49	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.5	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.51	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.52	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.53	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.54	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.55	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.56	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.57	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.58	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.59	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.6	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.61	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.62	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.63	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.64	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.65	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.66	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.67	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.68	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.69	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.7	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.71	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
0.12	0.72	0.1865	0.2325	0.1324	0.9531	0.1347	0.9126	0.0727	
