Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.02	0.12	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.122	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.124	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.126	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.128	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.13	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.132	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.134	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.136	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.138	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.14	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.142	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.14400000000000002	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.146	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.14800000000000002	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.15	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.152	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.154	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.156	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.158	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.16	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.162	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.16399999999999998	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.166	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.168	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.17	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.172	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.174	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.17600000000000002	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.17800000000000002	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.18	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.182	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.184	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.18600000000000003	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.188	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.19	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.192	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.19399999999999998	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.196	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.198	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.02	0.2	0.6128	0.3743	0.2366	0.8958	0.7196	0.9736	0.5708	0.5752531755509717
0.022000000000000002	0.02	0.532	0.3412	0.2086	0.9375	0.6371	0.9807	0.4718	0.5518440656921949
0.022000000000000002	0.022000000000000002	0.5663	0.3586	0.2217	0.9375	0.6724	0.9822	0.5112	0.5696534287123829
0.022000000000000002	0.024	0.5832	0.3664	0.228	0.9323	0.6894	0.9814	0.5313	0.576273925066421
0.022000000000000002	0.026000000000000002	0.5987	0.3726	0.2335	0.9219	0.705	0.9794	0.5507	0.5799440972035131
0.022000000000000002	0.027999999999999997	0.6061	0.3743	0.2355	0.9115	0.7125	0.9771	0.5607	0.5790619099001889
0.022000000000000002	0.03	0.6162	0.3804	0.2404	0.9115	0.722	0.9775	0.5723	0.5849249906571993
0.022000000000000002	0.032	0.6215	0.3824	0.2423	0.9062	0.7272	0.9765	0.5793	0.5854011410899008
0.022000000000000002	0.034	0.6256	0.385	0.2444	0.9062	0.7309	0.9767	0.5839	0.5878418091092472
0.022000000000000002	0.036000000000000004	0.6296	0.3875	0.2465	0.9062	0.7346	0.9769	0.5886	0.5902608075256316
0.022000000000000002	0.038	0.635	0.3896	0.2486	0.9009999999999999	0.7397	0.9759	0.5955	0.5908742218001476
0.022000000000000002	0.04	0.6397	0.3927	0.2511	0.9009999999999999	0.7439	0.9761	0.6009	0.5936840033588748
0.022000000000000002	0.042	0.6418	0.3941	0.2522	0.9009999999999999	0.7457	0.9762	0.6032	0.5949109854435018
0.022000000000000002	0.044000000000000004	0.6418	0.3941	0.2522	0.9009999999999999	0.7457	0.9762	0.6032	0.5949109854435018
0.022000000000000002	0.046	0.6431	0.395	0.2529	0.9009999999999999	0.7469	0.9763	0.6048	0.595688852870438
0.022000000000000002	0.048	0.6444	0.3959	0.2537	0.9009999999999999	0.7481	0.9763	0.6063	0.5965750600271427
0.022000000000000002	0.05	0.6444	0.3959	0.2537	0.9009999999999999	0.7481	0.9763	0.6063	0.5965750600271427
0.022000000000000002	0.052000000000000005	0.6451	0.3963	0.254	0.9009999999999999	0.7487	0.9764	0.6071	0.596906624934794
0.022000000000000002	0.054000000000000006	0.6451	0.3963	0.254	0.9009999999999999	0.7487	0.9764	0.6071	0.596906624934794
0.022000000000000002	0.055999999999999994	0.6451	0.3963	0.254	0.9009999999999999	0.7487	0.9764	0.6071	0.596906624934794
0.022000000000000002	0.057999999999999996	0.6471	0.3977	0.2552	0.9009999999999999	0.7505	0.9765	0.6094	0.5982287438859402
0.022000000000000002	0.06	0.6478	0.3982	0.2555	0.9009999999999999	0.7511	0.9765	0.6102	0.5985582423296931
0.022000000000000002	0.062	0.6485	0.3986	0.2559	0.9009999999999999	0.7517	0.9765	0.611	0.5989969344279331
0.022000000000000002	0.064	0.6485	0.3972	0.2552	0.8958	0.7519	0.9753	0.6118	0.5963898570385057
0.022000000000000002	0.066	0.6485	0.3972	0.2552	0.8958	0.7519	0.9753	0.6118	0.5963898570385057
0.022000000000000002	0.068	0.6492	0.3977	0.2556	0.8958	0.7525	0.9754	0.6125	0.5968263997497654
0.022000000000000002	0.07	0.6492	0.3977	0.2556	0.8958	0.7525	0.9754	0.6125	0.5968263997497654
0.022000000000000002	0.07200000000000001	0.6505	0.3986	0.2563	0.8958	0.7537	0.9754	0.6141	0.5975885996876626
0.022000000000000002	0.07400000000000001	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
0.022000000000000002	0.076	0.6498	0.3968	0.2552	0.8906	0.7533	0.9742	0.6141	0.5945409647378883
