Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	1	0.001	16	8	4	0.32	3.34	5806.8	
MLP	8	0.05	128	1	0.001	16	24	1	0.21	4.16	3669.37	
MLP	8	0.05	128	1	0.001	16	24	2	0.23	3.61	4869.03	
MLP	8	0.05	128	1	0.001	16	24	4	0.25	3.56	5013.36	
MLP	8	0.05	128	1	0.001	16	48	1	0.18	3.35	5658.72	
MLP	8	0.05	128	1	0.001	16	48	2	0.18	3.37	5620.84	
MLP	8	0.05	128	1	0.001	16	48	4	0.19	3.91	4123.32	
MLP	8	0.05	128	5	0.001	4	8	1	0.3	3.89	4155.62	
MLP	8	0.05	128	5	0.001	4	8	2	0.46	3.74	4610.82	
MLP	8	0.05	128	5	0.001	4	8	4	0.51	3.66	4782.27	
MLP	8	0.05	128	5	0.001	4	24	1	0.2	3.8	4418.51	
MLP	8	0.05	128	5	0.001	4	24	2	0.26	3.66	4774.09	
MLP	8	0.05	128	5	0.001	4	24	4	0.23	3.82	4443.22	
MLP	8	0.05	128	5	0.001	4	48	1	0.21	4.07	4086.05	
MLP	8	0.05	128	5	0.001	4	48	2	0.22	4.01	4327.74	
MLP	8	0.05	128	5	0.001	4	48	4	0.2	4.6	3195.63	
MLP	8	0.05	128	5	0.001	8	8	1	0.38	4.09	3956.87	
MLP	8	0.05	128	5	0.001	8	8	2	0.34	3.69	4681.53	
MLP	8	0.05	128	5	0.001	8	8	4	0.49	3.76	4456.37	
MLP	8	0.05	128	5	0.001	8	24	1	0.25	3.68	4700.01	
MLP	8	0.05	128	5	0.001	8	24	2	0.21	3.13	6503.06	
MLP	8	0.05	128	5	0.001	8	24	4	0.3	3.81	4353.43	
MLP	8	0.05	128	5	0.001	8	48	1	0.21	4.63	3135.57	
MLP	8	0.05	128	5	0.001	8	48	2	0.22	4.15	3818.68	
MLP	8	0.05	128	5	0.001	8	48	4	0.23	3.86	4317.96	
MLP	8	0.05	128	5	0.001	16	8	1	0.32	3.85	4235.63	
MLP	8	0.05	128	5	0.001	16	8	2	0.6	3.63	4904.86	
MLP	8	0.05	128	5	0.001	16	8	4	0.54	3.77	4413.99	
MLP	8	0.05	128	5	0.001	16	24	1	0.21	3.72	4607.39	
MLP	8	0.05	128	5	0.001	16	24	2	0.22	4.02	4005.04	
MLP	8	0.05	128	5	0.001	16	24	4	0.25	3.78	4422.09	
MLP	8	0.05	128	5	0.001	16	48	1	0.2	4.54	3278.04	
MLP	8	0.05	128	5	0.001	16	48	2	0.19	3.91	4195.96	
MLP	8	0.05	128	5	0.001	16	48	4	0.2	4.02	4441.5	
MLP	8	0.05	128	10	0.001	4	8	1	0.35	3.85	4278.66	
MLP	8	0.05	128	10	0.001	4	8	2	0.37	3.81	4392.28	
MLP	8	0.05	128	10	0.001	4	8	4	0.53	3.96	4081.14	
MLP	8	0.05	128	10	0.001	4	24	1	0.27	4.43	3307.62	
MLP	8	0.05	128	10	0.001	4	24	2	0.25	4.27	3606.15	
MLP	8	0.05	128	10	0.001	4	24	4	0.23	4.14	3839.98	
MLP	8	0.05	128	10	0.001	4	48	1	0.23	4.28	3599.94	
MLP	8	0.05	128	10	0.001	4	48	2	0.21	4.44	3580.56	
MLP	8	0.05	128	10	0.001	4	48	4	0.21	4.48	3309.46	
MLP	8	0.05	128	10	0.001	8	8	1	0.38	3.68	4690.0	
MLP	8	0.05	128	10	0.001	8	8	2	0.39	3.86	4204.03	
MLP	8	0.05	128	10	0.001	8	8	4	0.44	4.07	4151.29	
MLP	8	0.05	128	10	0.001	8	24	1	0.22	3.77	4432.97	
MLP	8	0.05	128	10	0.001	8	24	2	0.22	3.84	4408.36	
MLP	8	0.05	128	10	0.001	8	24	4	0.28	4.22	3717.0	
MLP	8	0.05	128	10	0.001	8	48	1	0.21	4.14	3847.67	
MLP	8	0.05	128	10	0.001	8	48	2	0.17	4.38	4015.51	
MLP	8	0.05	128	10	0.001	8	48	4	0.22	3.76	4454.08	
MLP	8	0.05	128	10	0.001	16	8	1	0.36	3.91	4083.9	
MLP	8	0.05	128	10	0.001	16	8	2	0.56	3.71	4639.87	
MLP	8	0.05	128	10	0.001	16	8	4	0.46	4.21	3705.23	
MLP	8	0.05	128	10	0.001	16	24	1	0.22	4.15	3974.89	
MLP	8	0.05	128	10	0.001	16	24	2	0.2	4.16	3626.68	
MLP	8	0.05	128	10	0.001	16	24	4	0.24	4.39	3355.03	
MLP	8	0.05	128	10	0.001	16	48	1	0.18	3.93	4368.38	
MLP	8	0.05	128	10	0.001	16	48	2	0.21	3.94	4365.76	
MLP	8	0.05	128	10	0.001	16	48	4	0.19	3.88	4362.47	
MLP	8	0.05	128	20	0.001	4	8	1	0.44	3.7	4569.08	
MLP	8	0.05	128	20	0.001	4	8	2	0.55	3.51	5103.09	
MLP	8	0.05	128	20	0.001	4	8	4	0.45	3.81	4331.17	
MLP	8	0.05	128	20	0.001	4	24	1	0.23	4.25	3788.91	
MLP	8	0.05	128	20	0.001	4	24	2	0.25	4.26	3589.64	
MLP	8	0.05	128	20	0.001	4	24	4	0.28	4.3	3592.26	
MLP	8	0.05	128	20	0.001	4	48	1	0.22	4.01	4031.87	
MLP	8	0.05	128	20	0.001	4	48	2	0.21	3.98	4148.56	
MLP	8	0.05	128	20	0.001	4	48	4	0.21	3.96	4861.97	
MLP	8	0.05	128	20	0.001	8	8	1	0.28	3.73	4521.5	
MLP	8	0.05	128	20	0.001	8	8	2	0.29	3.62	4770.78	
MLP	8	0.05	128	20	0.001	8	8	4	0.49	3.93	4063.8	
MLP	8	0.05	128	20	0.001	8	24	1	0.22	3.83	4275.15	
MLP	8	0.05	128	20	0.001	8	24	2	0.23	3.87	4178.14	
MLP	8	0.05	128	20	0.001	8	24	4	0.25	3.96	4070.43	
MLP	8	0.05	128	20	0.001	8	48	1	0.21	4.09	4027.15	
MLP	8	0.05	128	20	0.001	8	48	2	0.22	4.21	3667.7	
MLP	8	0.05	128	20	0.001	8	48	4	0.18	4.53	3435.96	
MLP	8	0.05	128	20	0.001	16	8	1	0.32	3.77	4628.43	
MLP	8	0.05	128	20	0.001	16	8	2	0.43	3.84	4251.63	
MLP	8	0.05	128	20	0.001	16	8	4	0.34	3.86	4168.22	
MLP	8	0.05	128	20	0.001	16	24	1	0.21	3.97	3968.75	
MLP	8	0.05	128	20	0.001	16	24	2	0.26	3.96	3991.07	
MLP	8	0.05	128	20	0.001	16	24	4	0.34	4.23	3768.93	
MLP	8	0.05	128	20	0.001	16	48	1	0.19	4.61	3343.06	
MLP	8	0.05	128	20	0.001	16	48	2	0.17	3.97	4271.05	
MLP	8	0.05	128	20	0.001	16	48	4	0.18	4.49	3382.56	
MLP	8	0.1	128	1	0.001	4	8	1	0.39	4.28	3496.57	
MLP	8	0.1	128	1	0.001	4	8	2	0.49	4.17	3610.22	
MLP	8	0.1	128	1	0.001	4	8	4	0.55	4.61	2963.29	
MLP	8	0.1	128	1	0.001	4	24	1	0.33	4.47	3275.56	
MLP	8	0.1	128	1	0.001	4	24	2	0.34	3.63	4896.68	
MLP	8	0.1	128	1	0.001	4	24	4	0.35	4.12	3722.4	
MLP	8	0.1	128	1	0.001	4	48	1	0.31	4.67	3082.4	
MLP	8	0.1	128	1	0.001	4	48	2	0.31	3.96	4059.43	
MLP	8	0.1	128	1	0.001	4	48	4	0.33	3.99	3995.79	
MLP	8	0.1	128	1	0.001	8	8	1	0.46	4.49	3150.64	
MLP	8	0.1	128	1	0.001	8	8	2	0.46	4.63	3088.14	
MLP	8	0.1	128	1	0.001	8	8	4	0.53	4.71	2868.78	
MLP	8	0.1	128	1	0.001	8	24	1	0.3	3.81	4468.1	
MLP	8	0.1	128	1	0.001	8	24	2	0.36	3.95	4061.77	
MLP	8	0.1	128	1	0.001	8	24	4	0.42	4.12	3740.02	
MLP	8	0.1	128	1	0.001	8	48	1	0.3	4.26	3562.76	
MLP	8	0.1	128	1	0.001	8	48	2	0.29	4.58	3061.06	
MLP	8	0.1	128	1	0.001	8	48	4	0.31	4.06	3924.66	
MLP	8	0.1	128	1	0.001	16	8	1	0.37	4.52	3120.61	
MLP	8	0.1	128	1	0.001	16	8	2	0.43	4.55	3068.71	
MLP	8	0.1	128	1	0.001	16	8	4	0.61	4.83	2733.98	
MLP	8	0.1	128	1	0.001	16	24	1	0.31	4.18	3701.23	
MLP	8	0.1	128	1	0.001	16	24	2	0.39	4.1	3756.09	
MLP	8	0.1	128	1	0.001	16	24	4	0.35	4.2	3620.94	
MLP	8	0.1	128	1	0.001	16	48	1	0.31	3.84	4258.14	
MLP	8	0.1	128	1	0.001	16	48	2	0.29	3.96	4027.21	
MLP	8	0.1	128	1	0.001	16	48	4	0.32	4.37	3439.17	
MLP	8	0.1	128	5	0.001	4	8	1	0.4	4.05	3871.18	
MLP	8	0.1	128	5	0.001	4	8	2	0.41	3.9	4148.7	
MLP	8	0.1	128	5	0.001	4	8	4	0.44	4.06	3828.53	
MLP	8	0.1	128	5	0.001	4	24	1	0.34	4.47	3536.96	
MLP	8	0.1	128	5	0.001	4	24	2	0.35	4.26	3642.27	
MLP	8	0.1	128	5	0.001	4	24	4	0.34	3.66	4716.64	
MLP	8	0.1	128	5	0.001	4	48	1	0.33	3.88	4189.62	
MLP	8	0.1	128	5	0.001	4	48	2	0.31	3.82	4314.67	
MLP	8	0.1	128	5	0.001	4	48	4	0.3	4.64	2907.41	
MLP	8	0.1	128	5	0.001	8	8	1	0.45	4.24	3492.45	
MLP	8	0.1	128	5	0.001	8	8	2	0.37	3.99	3997.97	
MLP	8	0.1	128	5	0.001	8	8	4	0.46	3.88	4186.38	
MLP	8	0.1	128	5	0.001	8	24	1	0.32	3.88	4191.31	
MLP	8	0.1	128	5	0.001	8	24	2	0.36	4.38	3347.52	
MLP	8	0.1	128	5	0.001	8	24	4	0.39	4.42	3411.23	
MLP	8	0.1	128	5	0.001	8	48	1	0.31	4.48	3297.87	
MLP	8	0.1	128	5	0.001	8	48	2	0.3	4.53	3550.64	
MLP	8	0.1	128	5	0.001	8	48	4	0.32	4.87	3178.39	
MLP	8	0.1	128	5	0.001	16	8	1	0.39	3.81	4375.29	
MLP	8	0.1	128	5	0.001	16	8	2	0.51	3.81	4336.89	
MLP	8	0.1	128	5	0.001	16	8	4	0.65	3.87	4233.63	
MLP	8	0.1	128	5	0.001	16	24	1	0.32	5.0	2588.84	
MLP	8	0.1	128	5	0.001	16	24	2	0.32	4.71	2898.2	
MLP	8	0.1	128	5	0.001	16	24	4	0.43	4.49	3195.03	
MLP	8	0.1	128	5	0.001	16	48	1	0.3	4.44	3157.62	
MLP	8	0.1	128	5	0.001	16	48	2	0.29	4.26	3473.52	
MLP	8	0.1	128	5	0.001	16	48	4	0.29	4.36	3369.5	
MLP	8	0.1	128	10	0.001	4	8	1	0.41	4.64	3085.31	
MLP	8	0.1	128	10	0.001	4	8	2	0.47	3.96	4020.72	
MLP	8	0.1	128	10	0.001	4	8	4	0.51	4.6	3005.09	
MLP	8	0.1	128	10	0.001	4	24	1	0.31	4.52	3456.04	
MLP	8	0.1	128	10	0.001	4	24	2	0.33	4.06	3812.61	
MLP	8	0.1	128	10	0.001	4	24	4	0.4	4.85	3116.17	
MLP	8	0.1	128	10	0.001	4	48	1	0.29	4.47	3184.51	
MLP	8	0.1	128	10	0.001	4	48	2	0.3	4.87	3077.49	
MLP	8	0.1	128	10	0.001	4	48	4	0.33	4.67	3112.8	
MLP	8	0.1	128	10	0.001	8	8	1	0.52	3.84	4271.57	
MLP	8	0.1	128	10	0.001	8	8	2	0.4	4.56	3271.19	
MLP	8	0.1	128	10	0.001	8	8	4	0.47	4.33	3352.9	
MLP	8	0.1	128	10	0.001	8	24	1	0.32	4.74	2945.46	
MLP	8	0.1	128	10	0.001	8	24	2	0.33	5.29	2362.53	
MLP	8	0.1	128	10	0.001	8	24	4	0.5	4.59	3285.49	
MLP	8	0.1	128	10	0.001	8	48	1	0.31	4.37	3524.73	
MLP	8	0.1	128	10	0.001	8	48	2	0.3	4.15	3697.71	
MLP	8	0.1	128	10	0.001	8	48	4	0.33	3.95	4329.15	
MLP	8	0.1	128	10	0.001	16	8	1	0.39	4.34	3418.71	
MLP	8	0.1	128	10	0.001	16	8	2	0.48	3.89	4148.01	
MLP	8	0.1	128	10	0.001	16	8	4	0.45	4.79	2950.5	
MLP	8	0.1	128	10	0.001	16	24	1	0.38	4.58	3112.25	
MLP	8	0.1	128	10	0.001	16	24	2	0.35	4.65	3050.06	
MLP	8	0.1	128	10	0.001	16	24	4	0.35	4.77	2859.61	
MLP	8	0.1	128	10	0.001	16	48	1	0.29	4.89	2883.07	
MLP	8	0.1	128	10	0.001	16	48	2	0.28	4.92	2897.06	
MLP	8	0.1	128	10	0.001	16	48	4	0.28	4.25	3748.91	
MLP	8	0.1	128	20	0.001	4	8	1	0.39	4.12	3694.54	
MLP	8	0.1	128	20	0.001	4	8	2	0.46	4.07	3785.53	
MLP	8	0.1	128	20	0.001	4	8	4	0.71	4.28	3678.57	
MLP	8	0.1	128	20	0.001	4	24	1	0.34	4.55	3401.06	
MLP	8	0.1	128	20	0.001	4	24	2	0.34	3.68	4616.98	
MLP	8	0.1	128	20	0.001	4	24	4	0.38	4.95	2757.23	
MLP	8	0.1	128	20	0.001	4	48	1	0.31	4.86	2779.27	
MLP	8	0.1	128	20	0.001	4	48	2	0.31	4.63	3100.95	
MLP	8	0.1	128	20	0.001	4	48	4	0.32	4.3	3477.35	
MLP	8	0.1	128	20	0.001	8	8	1	0.39	4.16	3626.72	
MLP	8	0.1	128	20	0.001	8	8	2	0.39	3.95	4019.56	
MLP	8	0.1	128	20	0.001	8	8	4	0.58	3.92	4081.31	
MLP	8	0.1	128	20	0.001	8	24	1	0.33	3.75	4429.45	
MLP	8	0.1	128	20	0.001	8	24	2	0.36	4.74	2953.9	
MLP	8	0.1	128	20	0.001	8	24	4	0.34	4.34	3381.76	
MLP	8	0.1	128	20	0.001	8	48	1	0.3	4.9	2969.28	
MLP	8	0.1	128	20	0.001	8	48	2	0.3	4.93	2822.95	
MLP	8	0.1	128	20	0.001	8	48	4	0.29	4.18	3600.65	
MLP	8	0.1	128	20	0.001	16	8	1	0.53	3.91	4097.52	
MLP	8	0.1	128	20	0.001	16	8	2	0.54	3.82	4293.48	
MLP	8	0.1	128	20	0.001	16	8	4	0.59	3.96	3986.87	
MLP	8	0.1	128	20	0.001	16	24	1	0.32	4.08	3756.65	
MLP	8	0.1	128	20	0.001	16	24	2	0.34	4.04	3833.93	
MLP	8	0.1	128	20	0.001	16	24	4	0.36	3.94	4030.23	
MLP	8	0.1	128	20	0.001	16	48	1	0.3	4.89	2678.73	
MLP	8	0.1	128	20	0.001	16	48	2	0.3	4.45	3640.87	
MLP	8	0.1	128	20	0.001	16	48	4	0.29	5.06	2743.48	
MLP	8	0.5	128	1	0.001	4	8	1	1.08	6.97	1295.86	
MLP	8	0.5	128	1	0.001	4	8	2	1.23	6.74	1389.29	
MLP	8	0.5	128	1	0.001	4	8	4	1.27	6.96	1321.1	
MLP	8	0.5	128	1	0.001	4	24	1	0.98	7.44	1152.19	
MLP	8	0.5	128	1	0.001	4	24	2	1.05	6.4	1533.13	
MLP	8	0.5	128	1	0.001	4	24	4	1.04	6.74	1379.11	
MLP	8	0.5	128	1	0.001	4	48	1	0.94	6.76	1372.65	
MLP	8	0.5	128	1	0.001	4	48	2	0.95	7.0	1279.28	
MLP	8	0.5	128	1	0.001	4	48	4	0.97	6.98	1301.81	
MLP	8	0.5	128	1	0.001	8	8	1	1.02	6.92	1315.87	
MLP	8	0.5	128	1	0.001	8	8	2	1.09	6.88	1340.24	
MLP	8	0.5	128	1	0.001	8	8	4	1.17	7.14	1257.61	
MLP	8	0.5	128	1	0.001	8	24	1	0.93	6.35	1563.24	
MLP	8	0.5	128	1	0.001	8	24	2	0.96	6.99	1284.74	
MLP	8	0.5	128	1	0.001	8	24	4	1.01	6.67	1420.92	
MLP	8	0.5	128	1	0.001	8	48	1	0.94	6.67	1407.36	
MLP	8	0.5	128	1	0.001	8	48	2	0.93	6.65	1418.68	
MLP	8	0.5	128	1	0.001	8	48	4	0.95	6.9	1333.24	
MLP	8	0.5	128	1	0.001	16	8	1	1.16	6.73	1391.22	
MLP	8	0.5	128	1	0.001	16	8	2	1.27	6.64	1438.35	
MLP	8	0.5	128	1	0.001	16	8	4	1.37	6.92	1314.51	
MLP	8	0.5	128	1	0.001	16	24	1	0.96	6.98	1287.38	
MLP	8	0.5	128	1	0.001	16	24	2	0.96	7.13	1232.81	
MLP	8	0.5	128	1	0.001	16	24	4	0.99	6.81	1348.21	
MLP	8	0.5	128	1	0.001	16	48	1	0.93	6.59	1466.94	
MLP	8	0.5	128	1	0.001	16	48	2	0.92	7.3	1194.62	
MLP	8	0.5	128	1	0.001	16	48	4	0.97	7.23	1203.86	
MLP	8	0.5	128	5	0.001	4	8	1	1.1	6.91	1311.37	
MLP	8	0.5	128	5	0.001	4	8	2	1.31	7.11	1240.89	
MLP	8	0.5	128	5	0.001	4	8	4	1.43	6.73	1388.48	
MLP	8	0.5	128	5	0.001	4	24	1	1.04	6.97	1313.81	
MLP	8	0.5	128	5	0.001	4	24	2	1.0	6.82	1349.62	
MLP	8	0.5	128	5	0.001	4	24	4	1.1	6.88	1328.09	
MLP	8	0.5	128	5	0.001	4	48	1	0.93	6.85	1347.22	
MLP	8	0.5	128	5	0.001	4	48	2	0.94	7.0	1277.76	
MLP	8	0.5	128	5	0.001	4	48	4	0.96	6.12	1688.24	
MLP	8	0.5	128	5	0.001	8	8	1	1.06	7.01	1271.79	
MLP	8	0.5	128	5	0.001	8	8	2	1.24	7.17	1220.26	
MLP	8	0.5	128	5	0.001	8	8	4	1.41	6.91	1322.37	
MLP	8	0.5	128	5	0.001	8	24	1	0.97	6.43	1529.81	
MLP	8	0.5	128	5	0.001	8	24	2	0.99	6.91	1311.17	
MLP	8	0.5	128	5	0.001	8	24	4	0.99	6.87	1337.24	
MLP	8	0.5	128	5	0.001	8	48	1	0.97	6.96	1302.89	
MLP	8	0.5	128	5	0.001	8	48	2	0.94	6.44	1527.24	
MLP	8	0.5	128	5	0.001	8	48	4	0.94	6.53	1487.45	
MLP	8	0.5	128	5	0.001	16	8	1	1.04	6.95	1298.99	
MLP	8	0.5	128	5	0.001	16	8	2	1.09	6.96	1290.36	
MLP	8	0.5	128	5	0.001	16	8	4	1.34	6.49	1493.26	
MLP	8	0.5	128	5	0.001	16	24	1	0.97	6.58	1442.4	
MLP	8	0.5	128	5	0.001	16	24	2	1.03	6.86	1331.16	
MLP	8	0.5	128	5	0.001	16	24	4	0.99	6.68	1413.11	
MLP	8	0.5	128	5	0.001	16	48	1	0.92	6.75	1382.92	
MLP	8	0.5	128	5	0.001	16	48	2	0.91	7.0	1303.75	
MLP	8	0.5	128	5	0.001	16	48	4	0.93	7.47	1119.61	
MLP	8	0.5	128	10	0.001	4	8	1	1.15	6.76	1383.05	
MLP	8	0.5	128	10	0.001	4	8	2	1.18	6.77	1368.27	
MLP	8	0.5	128	10	0.001	4	8	4	1.29	7.01	1271.39	
MLP	8	0.5	128	10	0.001	4	24	1	0.98	6.57	1463.23	
MLP	8	0.5	128	10	0.001	4	24	2	1.02	6.84	1337.43	
MLP	8	0.5	128	10	0.001	4	24	4	1.06	6.79	1359.78	
MLP	8	0.5	128	10	0.001	4	48	1	0.95	6.44	1529.87	
MLP	8	0.5	128	10	0.001	4	48	2	0.96	6.84	1348.6	
MLP	8	0.5	128	10	0.001	4	48	4	0.95	6.81	1352.19	
MLP	8	0.5	128	10	0.001	8	8	1	1.22	6.9	1316.22	
MLP	8	0.5	128	10	0.001	8	8	2	1.32	6.86	1336.35	
MLP	8	0.5	128	10	0.001	8	8	4	1.18	6.74	1378.31	
MLP	8	0.5	128	10	0.001	8	24	1	0.97	6.33	1588.58	
MLP	8	0.5	128	10	0.001	8	24	2	0.99	6.8	1359.85	
MLP	8	0.5	128	10	0.001	8	24	4	1.01	6.62	1427.07	
MLP	8	0.5	128	10	0.001	8	48	1	0.94	7.25	1196.16	
MLP	8	0.5	128	10	0.001	8	48	2	0.93	7.1	1242.97	
MLP	8	0.5	128	10	0.001	8	48	4	0.95	7.22	1203.62	
MLP	8	0.5	128	10	0.001	16	8	1	1.09	6.92	1302.02	
MLP	8	0.5	128	10	0.001	16	8	2	1.06	6.92	1301.46	
MLP	8	0.5	128	10	0.001	16	8	4	1.38	6.96	1293.15	
MLP	8	0.5	128	10	0.001	16	24	1	0.99	6.87	1325.94	
MLP	8	0.5	128	10	0.001	16	24	2	0.96	7.06	1258.34	
MLP	8	0.5	128	10	0.001	16	24	4	0.99	7.15	1237.48	
MLP	8	0.5	128	10	0.001	16	48	1	0.93	6.6	1449.13	
MLP	8	0.5	128	10	0.001	16	48	2	0.92	6.47	1508.23	
MLP	8	0.5	128	10	0.001	16	48	4	0.95	6.98	1296.91	
MLP	8	0.5	128	20	0.001	4	8	1	1.15	6.91	1305.38	
MLP	8	0.5	128	20	0.001	4	8	2	1.21	6.95	1293.4	
MLP	8	0.5	128	20	0.001	4	8	4	1.38	6.85	1330.15	
MLP	8	0.5	128	20	0.001	4	24	1	0.99	6.77	1360.92	
MLP	8	0.5	128	20	0.001	4	24	2	1.04	6.96	1285.95	
MLP	8	0.5	128	20	0.001	4	24	4	1.13	6.41	1518.77	
MLP	8	0.5	128	20	0.001	4	48	1	0.96	6.78	1355.57	
MLP	8	0.5	128	20	0.001	4	48	2	0.98	6.67	1401.21	
MLP	8	0.5	128	20	0.001	4	48	4	0.92	6.87	1335.88	
MLP	8	0.5	128	20	0.001	8	8	1	1.19	7.09	1237.78	
MLP	8	0.5	128	20	0.001	8	8	2	1.22	6.79	1356.46	
MLP	8	0.5	128	20	0.001	8	8	4	1.16	6.81	1342.85	
MLP	8	0.5	128	20	0.001	8	24	1	0.93	7.26	1192.42	
MLP	8	0.5	128	20	0.001	8	24	2	0.96	6.86	1325.88	
MLP	8	0.5	128	20	0.001	8	24	4	0.97	7.37	1155.66	
MLP	8	0.5	128	20	0.001	8	48	1	0.92	6.88	1329.12	
MLP	8	0.5	128	20	0.001	8	48	2	0.95	7.11	1251.61	
MLP	8	0.5	128	20	0.001	8	48	4	0.95	6.49	1478.13	
MLP	8	0.5	128	20	0.001	16	8	1	1.2	6.62	1428.37	
MLP	8	0.5	128	20	0.001	16	8	2	1.11	6.81	1344.05	
MLP	8	0.5	128	20	0.001	16	8	4	1.32	6.66	1406.67	
MLP	8	0.5	128	20	0.001	16	24	1	0.95	6.78	1365.1	
MLP	8	0.5	128	20	0.001	16	24	2	0.97	6.97	1284.08	
MLP	8	0.5	128	20	0.001	16	24	4	0.98	7.12	1230.32	
MLP	8	0.5	128	20	0.001	16	48	1	0.93	7.04	1267.78	
MLP	8	0.5	128	20	0.001	16	48	2	0.93	6.68	1422.61	
MLP	8	0.5	128	20	0.001	16	48	4	0.91	6.8	1375.5	
MLP	8	0.05	128	1	0.005	4	8	1	0.22	3.81	4397.36	
MLP	8	0.05	128	1	0.005	4	8	2	0.22	4.15	3694.93	
MLP	8	0.05	128	1	0.005	4	8	4	0.28	4.05	3927.06	
MLP	8	0.05	128	1	0.005	4	24	1	0.29	4.25	3529.59	
MLP	8	0.05	128	1	0.005	4	24	2	0.21	3.96	4052.72	
MLP	8	0.05	128	1	0.005	4	24	4	0.21	3.88	4271.29	
MLP	8	0.05	128	1	0.005	4	48	1	0.38	3.85	4245.65	
MLP	8	0.05	128	1	0.005	4	48	2	0.25	3.63	4798.55	
MLP	8	0.05	128	1	0.005	4	48	4	0.18	4.22	3563.71	
MLP	8	0.05	128	1	0.005	8	8	1	0.22	4.26	3540.32	
MLP	8	0.05	128	1	0.005	8	8	2	0.24	4.36	3349.69	
MLP	8	0.05	128	1	0.005	8	8	4	0.2	4.24	3516.7	
MLP	8	0.05	128	1	0.005	8	24	1	0.21	4.26	3475.38	
MLP	8	0.05	128	1	0.005	8	24	2	0.2	4.29	3427.15	
MLP	8	0.05	128	1	0.005	8	24	4	0.2	3.97	4026.54	
MLP	8	0.05	128	1	0.005	8	48	1	0.29	3.77	4405.05	
MLP	8	0.05	128	1	0.005	8	48	2	0.28	3.02	6984.79	
MLP	8	0.05	128	1	0.005	8	48	4	0.21	3.45	5324.2	
MLP	8	0.05	128	1	0.005	16	8	1	0.19	4.75	2773.71	
MLP	8	0.05	128	1	0.005	16	8	2	0.26	3.98	4015.76	
MLP	8	0.05	128	1	0.005	16	8	4	0.22	3.63	4778.71	
MLP	8	0.05	128	1	0.005	16	24	1	0.22	4.54	3045.03	
MLP	8	0.05	128	1	0.005	16	24	2	0.17	3.85	4244.27	
MLP	8	0.05	128	1	0.005	16	24	4	0.22	3.96	4036.11	
MLP	8	0.05	128	1	0.005	16	48	1	0.26	4.19	3578.51	
MLP	8	0.05	128	1	0.005	16	48	2	0.23	3.72	4628.61	
MLP	8	0.05	128	1	0.005	16	48	4	0.23	4.01	3900.11	
MLP	8	0.05	128	5	0.005	4	8	1	0.23	4.21	3553.17	
MLP	8	0.05	128	5	0.005	4	8	2	0.23	3.81	4318.73	
MLP	8	0.05	128	5	0.005	4	8	4	0.2	3.92	4056.48	
MLP	8	0.05	128	5	0.005	4	24	1	0.24	3.96	3998.04	
MLP	8	0.05	128	5	0.005	4	24	2	0.24	3.99	3964.17	
MLP	8	0.05	128	5	0.005	4	24	4	0.22	4.07	3820.43	
MLP	8	0.05	128	5	0.005	4	48	1	0.48	4.16	4052.46	
MLP	8	0.05	128	5	0.005	4	48	2	0.2	3.96	3979.71	
MLP	8	0.05	128	5	0.005	4	48	4	0.18	4.23	3682.49	
MLP	8	0.05	128	5	0.005	8	8	1	0.22	3.52	5068.4	
MLP	8	0.05	128	5	0.005	8	8	2	0.23	4.11	3713.71	
MLP	8	0.05	128	5	0.005	8	8	4	0.21	3.9	4109.5	
MLP	8	0.05	128	5	0.005	8	24	1	0.24	3.8	4328.11	
MLP	8	0.05	128	5	0.005	8	24	2	0.23	3.71	4696.03	
MLP	8	0.05	128	5	0.005	8	24	4	0.21	3.73	4532.8	
MLP	8	0.05	128	5	0.005	8	48	1	0.26	4.02	3864.81	
MLP	8	0.05	128	5	0.005	8	48	2	0.21	3.79	4368.15	
MLP	8	0.05	128	5	0.005	8	48	4	0.24	3.94	4037.07	
MLP	8	0.05	128	5	0.005	16	8	1	0.21	3.71	4527.69	
MLP	8	0.05	128	5	0.005	16	8	2	0.24	3.46	5209.64	
MLP	8	0.05	128	5	0.005	16	8	4	0.21	3.58	4993.62	
MLP	8	0.05	128	5	0.005	16	24	1	0.23	4.03	3837.25	
MLP	8	0.05	128	5	0.005	16	24	2	0.22	4.05	4236.9	
MLP	8	0.05	128	5	0.005	16	24	4	0.19	3.69	4605.88	
MLP	8	0.05	128	5	0.005	16	48	1	0.4	3.78	4404.32	
MLP	8	0.05	128	5	0.005	16	48	2	0.19	3.58	4862.9	
MLP	8	0.05	128	5	0.005	16	48	4	0.2	3.42	5337.23	
MLP	8	0.05	128	10	0.005	4	8	1	0.2	3.78	4366.82	
MLP	8	0.05	128	10	0.005	4	8	2	0.24	4.19	3780.95	
MLP	8	0.05	128	10	0.005	4	8	4	0.22	3.86	4205.02	
MLP	8	0.05	128	10	0.005	4	24	1	0.24	3.82	4280.55	
MLP	8	0.05	128	10	0.005	4	24	2	0.25	3.71	4527.75	
MLP	8	0.05	128	10	0.005	4	24	4	0.22	3.72	4508.97	
MLP	8	0.05	128	10	0.005	4	48	1	0.35	3.96	3979.58	
MLP	8	0.05	128	10	0.005	4	48	2	0.2	3.84	4230.03	
