	375	1	92	110	158	286	295	393	460	501	606	658	675
138	r		g				r						
139	r		g				r						
140	r		g				r						
141	r		g				r						
142	r		g				r						
143	r		g				r						
144	r		r										
145	r		r										
146	r		r										
147	r		r										
148	r		r										
149	r		r										
150	r		r										
151	r		r										
152	r		r										
153	g		r										
154	g												
155	g												
156	g												
157	g												
158	g												
159	g												
160	g												
161	g												
162	g												
163	r												
164	r												
165	r												
166	r												
