Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.02	0.14	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.142	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.14400000000000002	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.146	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.14800000000000002	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.15	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.152	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.154	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.156	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.158	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.16	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.162	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.16399999999999998	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.166	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.168	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.17	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.172	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.174	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.17600000000000002	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.17800000000000002	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.18	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.182	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.184	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.18600000000000005	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.188	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.19	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.192	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.194	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.196	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.198	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.02	0.2	0.2983	0.2662	0.1539	0.9844	0.3277	0.9883	0.1964	0.4734348750000001
0.022	0.02	0.2519	0.2569	0.1474	1.0	0.2468	1.0	0.1408	0.4636386512330146
0.022	0.022	0.262	0.2595	0.1491	1.0	0.2644	1.0	0.1524	0.4669882235028815
0.022	0.024	0.2714	0.2619	0.1507	1.0	0.2806	1.0	0.1632	0.4701147991015723
0.022	0.026	0.2774	0.2636	0.1518	1.0	0.2908	1.0	0.1701	0.4722498755599801
0.022	0.028	0.2902	0.267	0.1541	1.0	0.312	1.0	0.1848	0.47667656520663204
0.022	0.03	0.2997	0.2697	0.1558	1.0	0.3273	1.0	0.1957	0.4799162148841794
0.022	0.032	0.3037	0.2708	0.1566	1.0	0.3338	1.0	0.2003	0.4814313821938023
0.022	0.034	0.3084	0.2721	0.1575	1.0	0.3412	1.0	0.2057	0.4831288343558282
0.022	0.036000000000000004	0.3104	0.2727	0.1579	1.0	0.3444	1.0	0.208	0.483880853150282
0.022	0.038	0.3138	0.2737	0.1585	1.0	0.3497	1.0	0.2119	0.4850061199510404
0.022	0.04	0.3158	0.2743	0.1589	1.0	0.3529	1.0	0.2142	0.485754463193935
0.022	0.042	0.3178	0.2749	0.1593	1.0	0.35600000000000004	1.0	0.2166	0.486501343757635
0.022	0.044	0.3199	0.2755	0.1597	1.0	0.3591	1.0	0.2189	0.4872467659262875
0.022	0.046	0.3212	0.2759	0.16	1.0	0.3612	1.0	0.2204	0.4878048780487805
0.022	0.048	0.3219	0.2761	0.1601	1.0	0.3623	1.0	0.2212	0.487990733967325
0.022	0.05	0.3219	0.2761	0.1601	1.0	0.3623	1.0	0.2212	0.487990733967325
0.022	0.052000000000000005	0.3232	0.2765	0.1604	1.0	0.3643	1.0	0.2227	0.4885477582846003
0.022	0.054000000000000006	0.3232	0.2765	0.1604	1.0	0.3643	1.0	0.2227	0.4885477582846003
0.022	0.056	0.3239	0.2767	0.1605	1.0	0.3654	1.0	0.2235	0.4887332521315469
0.022	0.058	0.3239	0.2767	0.1605	1.0	0.3654	1.0	0.2235	0.4887332521315469
0.022	0.06	0.3246	0.2769	0.1607	1.0	0.3664	1.0	0.2243	0.4891039688336986
0.022	0.062	0.3246	0.2769	0.1607	1.0	0.3664	1.0	0.2243	0.4891039688336986
0.022	0.064	0.3246	0.2769	0.1607	1.0	0.3664	1.0	0.2243	0.4891039688336986
0.022	0.066	0.3253	0.2771	0.1608	1.0	0.3674	1.0	0.2251	0.4892891918208374
0.022	0.068	0.3253	0.2771	0.1608	1.0	0.3674	1.0	0.2251	0.4892891918208374
0.022	0.07	0.3253	0.2771	0.1608	1.0	0.3674	1.0	0.2251	0.4892891918208374
0.022	0.07200000000000001	0.3246	0.2758	0.1601	0.9948	0.3672	0.9966	0.2251	0.4869969422700587
0.022	0.07400000000000001	0.3239	0.2746	0.1594	0.9896	0.3670000000000001	0.9932	0.2251	0.4847045231071779
