Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.055	0.055	0.5232	0.3481	0.2114	0.9844	0.6242	0.9949	0.4548	
0.055	0.06	0.5428	0.3564	0.2178	0.9792	0.6454	0.9936	0.478	
0.055	0.065	0.5515	0.3608	0.2212	0.9792	0.6546	0.9937	0.488	
0.055	0.07	0.5576	0.364	0.2235	0.9792	0.6608	0.9938	0.495	
0.055	0.075	0.5616	0.3661	0.2251	0.9792	0.665	0.9938	0.4996	
0.055	0.08	0.5623	0.3665	0.2254	0.9792	0.6656	0.9939	0.5004	
0.055	0.085	0.5643	0.3663	0.2256	0.974	0.668	0.9924	0.5035	
0.055	0.09	0.567	0.3677	0.2267	0.974	0.6708	0.9924	0.5066	
0.055	0.095	0.5677	0.3681	0.2269	0.974	0.6714	0.9924	0.5073	
0.055	0.1	0.5677	0.3681	0.2269	0.974	0.6714	0.9924	0.5073	
0.055	0.105	0.5677	0.3681	0.2269	0.974	0.6714	0.9924	0.5073	
0.055	0.11	0.567	0.3665	0.226	0.9688	0.6711	0.9909	0.5073	
0.055	0.115	0.567	0.3653	0.2253	0.9635	0.6714	0.9895	0.5081	
0.055	0.12	0.567	0.3653	0.2253	0.9635	0.6714	0.9895	0.5081	
0.055	0.125	0.5677	0.3656	0.2256	0.9635	0.6721	0.9895	0.5089	
0.055	0.13	0.5677	0.3656	0.2256	0.9635	0.6721	0.9895	0.5089	
0.055	0.135	0.567	0.364	0.2247	0.9583	0.6718	0.988	0.5089	
0.055	0.14	0.567	0.364	0.2247	0.9583	0.6718	0.988	0.5089	
0.055	0.145	0.567	0.364	0.2247	0.9583	0.6718	0.988	0.5089	
0.055	0.15	0.567	0.364	0.2247	0.9583	0.6718	0.988	0.5089	
0.06	0.04	0.4572	0.3193	0.1905	0.9844	0.5487	0.9939	0.379	
0.06	0.045	0.4875	0.3319	0.1996	0.9844	0.5844	0.9944	0.4138	
0.06	0.05	0.5104	0.3421	0.207	0.9844	0.6102	0.9948	0.4401	
0.06	0.055	0.5407	0.3542	0.2164	0.974	0.6437	0.9919	0.4764	
0.06	0.06	0.565	0.3654	0.2252	0.9688	0.6691	0.9909	0.505	
0.06	0.065	0.5771	0.372	0.2302	0.9688	0.6812	0.9911	0.5189	
0.06	0.07	0.5892	0.3788	0.2354	0.9688	0.6932	0.9914	0.5329	
0.06	0.075	0.5953	0.3823	0.2382	0.9688	0.699	0.9915	0.5398	
0.06	0.08	0.598	0.3839	0.2394	0.9688	0.7016	0.9915	0.5429	
0.06	0.085	0.602	0.385	0.2406	0.9635	0.7058	0.9902	0.5483	
0.06	0.09	0.6054	0.387	0.2421	0.9635	0.709	0.9903	0.5522	
0.06	0.095	0.6074	0.3882	0.2431	0.9635	0.711	0.9903	0.5545	
0.06	0.1	0.6067	0.3866	0.2421	0.9583	0.7106	0.989	0.5545	
0.06	0.105	0.6067	0.3866	0.2421	0.9583	0.7106	0.989	0.5545	
0.06	0.11	0.6061	0.3849	0.2411	0.9531	0.7103	0.9876	0.5545	
0.06	0.115	0.6061	0.3836	0.2404	0.9479	0.7105	0.9863	0.5553	
0.06	0.12	0.6061	0.3836	0.2404	0.9479	0.7105	0.9863	0.5553	
0.06	0.125	0.6067	0.384	0.2407	0.9479	0.7112	0.9863	0.5561	
0.06	0.13	0.6067	0.384	0.2407	0.9479	0.7112	0.9863	0.5561	
0.06	0.135	0.6061	0.3823	0.2397	0.9427	0.7108	0.9849	0.5561	
0.06	0.14	0.6061	0.3823	0.2397	0.9427	0.7108	0.9849	0.5561	
0.06	0.145	0.6061	0.3823	0.2397	0.9427	0.7108	0.9849	0.5561	
0.06	0.15	0.6061	0.3823	0.2397	0.9427	0.7108	0.9849	0.5561	
0.065	0.04	0.4586	0.3186	0.1903	0.9792	0.5508	0.992	0.3813	
0.065	0.045	0.4889	0.3313	0.1994	0.9792	0.5864	0.9926	0.4161	
0.065	0.05	0.5145	0.3428	0.2077	0.9792	0.6151	0.9931	0.4455	
0.065	0.055	0.5468	0.356	0.2181	0.9688	0.6504	0.9905	0.4841	
0.065	0.06	0.5785	0.3715	0.2301	0.9635	0.6829	0.9897	0.5213	
0.065	0.065	0.596	0.3802	0.2371	0.9583	0.7003	0.9887	0.5422	
0.065	0.07	0.6108	0.389	0.244	0.9583	0.7144	0.9891	0.5592	
0.065	0.075	0.6202	0.3948	0.2486	0.9583	0.7233	0.9893	0.57	
0.065	0.08	0.6256	0.3983	0.2514	0.9583	0.7283	0.9894	0.5762	
0.065	0.085	0.6303	0.4	0.2531	0.9531	0.7328	0.9882	0.5824	
0.065	0.09	0.6337	0.4022	0.2549	0.9531	0.7359	0.9883	0.5862	
0.065	0.095	0.6377	0.4049	0.257	0.9531	0.7396	0.9884	0.5909	
0.065	0.1	0.637	0.4031	0.256	0.9479	0.7392	0.9871	0.5909	
0.065	0.105	0.637	0.4031	0.256	0.9479	0.7392	0.9871	0.5909	
0.065	0.11	0.6364	0.4013	0.2549	0.9427	0.7389	0.9858	0.5909	
0.065	0.115	0.6357	0.3982	0.2532	0.9323	0.7388	0.9833	0.5916	
0.065	0.12	0.6357	0.3982	0.2532	0.9323	0.7388	0.9833	0.5916	
0.065	0.125	0.6364	0.3987	0.2535	0.9323	0.7394	0.9833	0.5924	
0.065	0.13	0.6364	0.3987	0.2535	0.9323	0.7394	0.9833	0.5924	
0.065	0.135	0.6357	0.3969	0.2525	0.9271	0.739	0.9821	0.5924	
0.065	0.14	0.6357	0.3969	0.2525	0.9271	0.739	0.9821	0.5924	
0.065	0.145	0.6357	0.3969	0.2525	0.9271	0.739	0.9821	0.5924	
0.065	0.15	0.6357	0.3969	0.2525	0.9271	0.739	0.9821	0.5924	
0.07	0.04	0.4593	0.3189	0.1905	0.9792	0.5516	0.992	0.3821	
0.07	0.045	0.4896	0.3316	0.1996	0.9792	0.5871	0.9926	0.4169	
0.07	0.05	0.5145	0.3416	0.2071	0.974	0.6155	0.9914	0.4462	
0.07	0.055	0.5502	0.3565	0.2187	0.9635	0.6542	0.989	0.4888	
0.07	0.06	0.5865	0.3747	0.2329	0.9583	0.6911	0.9885	0.5313	
0.07	0.065	0.6067	0.3853	0.2414	0.9531	0.7109	0.9876	0.5553	
0.07	0.07	0.6263	0.3961	0.2503	0.9479	0.7294	0.9868	0.5785	
0.07	0.075	0.6404	0.4053	0.2578	0.9479	0.7423	0.9872	0.5947	
0.07	0.08	0.6471	0.4099	0.2615	0.9479	0.7483	0.9873	0.6025	
0.07	0.085	0.6519	0.4118	0.2635	0.9427	0.7527	0.9862	0.6087	
0.07	0.09	0.6552	0.4142	0.2654	0.9427	0.7557	0.9863	0.6125	
0.07	0.095	0.662	0.419	0.2693	0.9427	0.7616	0.9865	0.6203	
0.07	0.1	0.662	0.4176	0.2687	0.9375	0.7619	0.9853	0.621	
0.07	0.105	0.6626	0.4181	0.2691	0.9375	0.7624	0.9853	0.6218	
0.07	0.11	0.662	0.4163	0.268	0.9323	0.7621	0.9841	0.6218	
0.07	0.115	0.6606	0.4112	0.2651	0.9167	0.7616	0.9805	0.6226	
0.07	0.12	0.6606	0.4112	0.2651	0.9167	0.7616	0.9805	0.6226	
0.07	0.125	0.6613	0.4117	0.2655	0.9167	0.7622	0.9805	0.6234	
0.07	0.13	0.6613	0.4117	0.2655	0.9167	0.7622	0.9805	0.6234	
0.07	0.135	0.6606	0.4098	0.2644	0.9115	0.7618	0.9793	0.6234	
0.07	0.14	0.6606	0.4098	0.2644	0.9115	0.7618	0.9793	0.6234	
0.07	0.145	0.6606	0.4098	0.2644	0.9115	0.7618	0.9793	0.6234	
0.07	0.15	0.6606	0.4098	0.2644	0.9115	0.7618	0.9793	0.6234	
0.075	0.04	0.4586	0.3175	0.1897	0.974	0.5513	0.99	0.3821	
0.075	0.045	0.4896	0.3304	0.1989	0.974	0.5876	0.9908	0.4176	
0.075	0.05	0.5152	0.3407	0.2067	0.9688	0.6166	0.9897	0.4478	
0.075	0.055	0.5549	0.3576	0.2198	0.9583	0.6595	0.9877	0.495	
0.075	0.06	0.5933	0.376	0.2345	0.9479	0.6983	0.9859	0.5406	
0.075	0.065	0.6175	0.3879	0.2446	0.9375	0.7218	0.984	0.57	
0.075	0.07	0.6384	0.4	0.2546	0.9323	0.7412	0.9834	0.5947	
0.075	0.075	0.6572	0.4129	0.2652	0.9323	0.758	0.984	0.6164	
0.075	0.08	0.6653	0.4187	0.27	0.9323	0.765	0.9842	0.6257	
0.075	0.085	0.6707	0.4199	0.2719	0.9219	0.7701	0.982	0.6334	
0.075	0.09	0.6747	0.4229	0.2744	0.9219	0.7736	0.9821	0.6381	
0.075	0.095	0.6822	0.4286	0.2792	0.9219	0.7799	0.9824	0.6466	
0.075	0.1	0.6828	0.4277	0.2789	0.9167	0.7806	0.9813	0.6481	
0.075	0.105	0.6848	0.4293	0.2803	0.9167	0.7823	0.9813	0.6504	
0.075	0.11	0.6842	0.4274	0.2791	0.9115	0.782	0.9802	0.6504	
0.075	0.115	0.6828	0.4221	0.2761	0.8958	0.7814	0.9768	0.6512	
0.075	0.12	0.6828	0.4221	0.2761	0.8958	0.7814	0.9768	0.6512	
0.075	0.125	0.6835	0.4226	0.2765	0.8958	0.782	0.9768	0.652	
0.075	0.13	0.6835	0.4226	0.2765	0.8958	0.782	0.9768	0.652	
0.075	0.135	0.6828	0.4207	0.2754	0.8906	0.7816	0.9757	0.652	
0.075	0.14	0.6828	0.4207	0.2754	0.8906	0.7816	0.9757	0.652	
0.075	0.145	0.6828	0.4207	0.2754	0.8906	0.7816	0.9757	0.652	
0.075	0.15	0.6828	0.4207	0.2754	0.8906	0.7816	0.9757	0.652	
0.08	0.04	0.4586	0.3175	0.1897	0.974	0.5513	0.99	0.3821	
0.08	0.045	0.4902	0.3307	0.1991	0.974	0.5884	0.9908	0.4184	
