Path	Red F1
LOSS0.21_8DBS3.63_8CHS4738.77_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS4_F8_S4	0.5954	
LOSS0.21_8DBS3.68_8CHS4610.13_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS8_F48_S2	0.4011	
LOSS0.21_8DBS3.69_8CHS4570.73_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS4_F8_S2	0.6361	
LOSS0.21_8DBS3.71_8CHS4527.69_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F8_S1	0.6158	
LOSS0.21_8DBS3.72_8CHS4607.39_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS16_F24_S1	0.2287	
LOSS0.21_8DBS3.73_8CHS4481.25_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS16_F24_S1	0.5885	
LOSS0.21_8DBS3.73_8CHS4532.8_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F24_S4	0.2287	
LOSS0.21_8DBS3.78_8CHS4352.38_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS4_F48_S2	0.5455	
LOSS0.21_8DBS3.78_8CHS4553.28_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS8_F48_S2	0.2287	
LOSS0.21_8DBS3.79_8CHS4342.52_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS4_F8_S1	0.6477	
LOSS0.21_8DBS3.79_8CHS4342.96_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS8_F24_S4	0.6479	
LOSS0.21_8DBS3.79_8CHS4368.15_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F48_S2	0.6351	
LOSS0.21_8DBS3.7_8CHS4545.53_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS8_F8_S4	0.6379	
LOSS0.21_8DBS3.85_8CHS4205.89_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS4_F24_S2	0.6211	
LOSS0.21_8DBS3.88_8CHS4271.29_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F24_S4	0.2287	
LOSS0.21_8DBS3.94_8CHS4365.76_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS16_F48_S2	0.2287	
LOSS0.21_8DBS3.96_8CHS4052.72_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F24_S2	0.2287	
LOSS0.21_8DBS3.96_8CHS4861.97_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS4_F48_S4	0.2287	
LOSS0.21_8DBS3.97_8CHS3968.75_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS16_F24_S1	0.5767	
LOSS0.21_8DBS3.98_8CHS4148.56_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS4_F48_S2	0.2362	
LOSS0.21_8DBS3.9_8CHS4109.5_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F8_S4	0.615	
LOSS0.21_8DBS4.05_8CHS3807.74_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS16_F24_S2	0.6724	
LOSS0.21_8DBS4.06_8CHS4015.2_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS16_F48_S2	0.2287	
LOSS0.21_8DBS4.07_8CHS4086.05_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS4_F48_S1	0.2287	
LOSS0.21_8DBS4.09_8CHS4027.15_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS8_F48_S1	0.2269	
LOSS0.21_8DBS4.11_8CHS3977.35_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS8_F48_S2	0.2394	
LOSS0.21_8DBS4.14_8CHS3847.67_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS8_F48_S1	0.237	
LOSS0.21_8DBS4.15_8CHS4227.51_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS16_F48_S1	0.2287	
LOSS0.21_8DBS4.16_8CHS3669.37_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS16_F24_S1	0.2287	
LOSS0.21_8DBS4.26_8CHS3475.38_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS8_F24_S1	0.2287	
LOSS0.21_8DBS4.44_8CHS3580.56_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS4_F48_S2	0.2287	
LOSS0.21_8DBS4.48_8CHS3309.46_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS4_F48_S4	0.2287	
LOSS0.21_8DBS4.63_8CHS3135.57_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS8_F48_S1	0.2287	
LOSS0.22_8DBS3.52_8CHS5068.4_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F8_S1	0.4197	
LOSS0.22_8DBS3.63_8CHS4778.71_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F8_S4	0.2287	
LOSS0.22_8DBS3.64_8CHS4711.24_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS4_F24_S4	0.6536	
LOSS0.22_8DBS3.65_8CHS4663.7_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS16_F8_S2	0.5851	
LOSS0.22_8DBS3.72_8CHS4499.82_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS8_F48_S4	0.6469	
LOSS0.22_8DBS3.72_8CHS4508.97_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS4_F24_S4	0.2287	
LOSS0.22_8DBS3.74_8CHS4463.11_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS16_F24_S2	0.5309	
LOSS0.22_8DBS3.76_8CHS4454.08_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS8_F48_S4	0.2287	
LOSS0.22_8DBS3.77_8CHS4379.2_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS8_F8_S4	0.628	
LOSS0.22_8DBS3.77_8CHS4386.26_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS4_F48_S4	0.568	
LOSS0.22_8DBS3.77_8CHS4432.97_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS8_F24_S1	0.6436	
LOSS0.22_8DBS3.77_8CHS4486.46_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS4_F48_S2	0.2287	
LOSS0.22_8DBS3.78_8CHS4356.58_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS16_F24_S4	0.6296	
LOSS0.22_8DBS3.7_8CHS4548.22_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS8_F24_S2	0.5896	
LOSS0.22_8DBS3.81_8CHS4397.36_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F8_S1	0.2287	
LOSS0.22_8DBS3.82_8CHS4268.44_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS8_F24_S2	0.6353	
LOSS0.22_8DBS3.82_8CHS4376.29_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS4_F24_S1	0.2287	
LOSS0.22_8DBS3.83_8CHS4275.15_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS8_F24_S1	0.6384	
LOSS0.22_8DBS3.84_8CHS4408.36_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS8_F24_S2	0.2287	
LOSS0.22_8DBS3.86_8CHS4205.02_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS4_F8_S4	0.6217	
LOSS0.22_8DBS3.86_8CHS4394.08_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS16_F24_S2	0.2287	
LOSS0.22_8DBS3.87_8CHS4220.09_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS8_F24_S2	0.2287	
LOSS0.22_8DBS3.88_8CHS4164.61_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS4_F48_S4	0.5952	
LOSS0.22_8DBS3.8_8CHS4328.21_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS8_F8_S4	0.6492	
LOSS0.22_8DBS3.96_8CHS4036.11_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F24_S4	0.2287	
LOSS0.22_8DBS4.01_8CHS3917.3_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS4_F48_S4	0.546	
LOSS0.22_8DBS4.01_8CHS4031.87_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS4_F48_S1	0.2287	
LOSS0.22_8DBS4.01_8CHS4327.74_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS4_F48_S2	0.2287	
LOSS0.22_8DBS4.02_8CHS4005.04_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS16_F24_S2	0.2287	
LOSS0.22_8DBS4.05_8CHS4236.9_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F24_S2	0.2287	
LOSS0.22_8DBS4.06_8CHS3841.38_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS8_F48_S1	0.2287	
LOSS0.22_8DBS4.07_8CHS3820.43_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F24_S4	0.2287	
LOSS0.22_8DBS4.14_8CHS3849.76_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS16_F24_S1	0.2498	
LOSS0.22_8DBS4.15_8CHS3694.93_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F8_S2	0.6359	
LOSS0.22_8DBS4.15_8CHS3818.68_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS8_F48_S2	0.2287	
LOSS0.22_8DBS4.15_8CHS3830.79_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS8_F48_S4	0.2287	
LOSS0.22_8DBS4.15_8CHS3974.89_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS16_F24_S1	0.2287	
LOSS0.22_8DBS4.21_8CHS3667.7_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS8_F48_S2	0.4286	
LOSS0.22_8DBS4.21_8CHS4384.73_LATENT8_STDEV0.05_BS128_E10_LR0.0005_KS4_F24_S1	0.2287	
LOSS0.22_8DBS4.26_8CHS3540.32_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS8_F8_S1	0.2287	
LOSS0.22_8DBS4.28_8CHS3489.08_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS8_F8_S1	0.5879	
LOSS0.22_8DBS4.2_8CHS3811.59_LATENT8_STDEV0.05_BS128_E20_LR0.0005_KS4_F48_S2	0.2287	
LOSS0.22_8DBS4.43_8CHS3179.49_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS16_F24_S2	0.2287	
LOSS0.22_8DBS4.43_8CHS3511.86_LATENT8_STDEV0.05_BS128_E5_LR0.0005_KS4_F48_S1	0.2287	
LOSS0.22_8DBS4.45_8CHS3484.13_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS16_F8_S1	0.2317	
LOSS0.22_8DBS4.54_8CHS3045.03_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F24_S1	0.231	
LOSS0.23_8DBS3.34_8CHS5774.28_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS8_F48_S2	0.2287	
LOSS0.23_8DBS3.42_8CHS5490.95_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS8_F24_S1	0.2287	
LOSS0.23_8DBS3.47_8CHS5258.68_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS8_F48_S4	0.2287	
LOSS0.23_8DBS3.49_8CHS5133.16_LATENT8_STDEV0.05_BS128_E1_LR0.01_KS16_F24_S4	0.2287	
LOSS0.23_8DBS3.56_8CHS4935.61_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS4_F24_S4	0.5739	
LOSS0.23_8DBS3.59_8CHS4820.04_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS16_F8_S1	0.6356	
LOSS0.23_8DBS3.61_8CHS4869.03_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS16_F24_S2	0.2287	
LOSS0.23_8DBS3.64_8CHS4690.11_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS8_F8_S1	0.6472	
LOSS0.23_8DBS3.64_8CHS4694.06_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS16_F24_S2	0.5773	
LOSS0.23_8DBS3.67_8CHS4634.2_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS4_F8_S2	0.6517	
LOSS0.23_8DBS3.71_8CHS4696.03_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS8_F24_S2	0.6143	
LOSS0.23_8DBS3.72_8CHS4510.28_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS8_F8_S2	0.6296	
