Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.025	0.1	0.4983	0.2841	0.1741	0.7708	0.6139	0.9309	0.4579	
0.03	0.01	0.1392	0.2308	0.1304	1.0	0.0229	1.0	0.0116	
0.03	0.015	0.1432	0.2316	0.131	1.0	0.0319	1.0	0.0162	
0.03	0.02	0.1553	0.2341	0.1326	1.0	0.0585	1.0	0.0301	
0.03	0.025	0.3665	0.2842	0.1664	0.974	0.4318	0.9862	0.2764	
0.03	0.03	0.5831	0.3501	0.2192	0.8698	0.6931	0.9655	0.5405	
0.03	0.035	0.6584	0.3805	0.2484	0.8125	0.7642	0.9581	0.6355	
0.03	0.04	0.6732	0.3737	0.2483	0.7552	0.7789	0.948	0.661	
0.03	0.045	0.6732	0.3655	0.2439	0.7292	0.7799	0.943	0.6649	
0.03	0.05	0.6725	0.3601	0.2408	0.7135	0.7799	0.9401	0.6664	
0.03	0.055	0.6725	0.3584	0.2399	0.7083	0.7801	0.9391	0.6672	
0.03	0.06	0.6718	0.3562	0.2385	0.7031	0.7798	0.9381	0.6672	
0.03	0.065	0.6711	0.354	0.2372	0.6979	0.7794	0.9371	0.6672	
0.03	0.07	0.6705	0.3519	0.2358	0.6927	0.7791	0.9361	0.6672	
0.03	0.075	0.6711	0.3523	0.2362	0.6927	0.7796	0.9361	0.668	
0.03	0.08	0.6711	0.3523	0.2362	0.6927	0.7796	0.9361	0.668	
0.03	0.085	0.6705	0.3501	0.2349	0.6875	0.7793	0.9351	0.668	
0.03	0.09	0.6705	0.3501	0.2349	0.6875	0.7793	0.9351	0.668	
0.03	0.095	0.6705	0.3501	0.2349	0.6875	0.7793	0.9351	0.668	
0.03	0.1	0.6705	0.3501	0.2349	0.6875	0.7793	0.9351	0.668	
0.035	0.01	0.1406	0.231	0.1306	1.0	0.0259	1.0	0.0131	
0.035	0.015	0.1466	0.2323	0.1314	1.0	0.0394	1.0	0.0201	
0.035	0.02	0.1601	0.2352	0.1332	1.0	0.0686	1.0	0.0355	
0.035	0.025	0.3907	0.2922	0.1719	0.974	0.4652	0.9875	0.3042	
0.035	0.03	0.6611	0.3913	0.2547	0.8438	0.7651	0.9647	0.634	
0.035	0.035	0.77	0.4673	0.3333	0.7812	0.8533	0.9595	0.7683	
0.035	0.04	0.7935	0.4716	0.3522	0.7135	0.8717	0.9499	0.8054	
0.035	0.045	0.7942	0.4574	0.3468	0.6719	0.873	0.9435	0.8124	
0.035	0.05	0.7949	0.4505	0.3444	0.651	0.8739	0.9404	0.8162	
0.035	0.055	0.7942	0.4457	0.3417	0.6406	0.8737	0.9388	0.817	
0.035	0.06	0.7915	0.4343	0.3343	0.6198	0.8722	0.9355	0.817	
0.035	0.065	0.7909	0.4314	0.3324	0.6146	0.8719	0.9346	0.817	
0.035	0.07	0.7902	0.4286	0.3305	0.6094	0.8715	0.9338	0.817	
0.035	0.075	0.7909	0.4294	0.3314	0.6094	0.872	0.9339	0.8178	
0.035	0.08	0.7909	0.4294	0.3314	0.6094	0.872	0.9339	0.8178	
0.035	0.085	0.7902	0.4265	0.3295	0.6042	0.8716	0.933	0.8178	
0.035	0.09	0.7902	0.4265	0.3295	0.6042	0.8716	0.933	0.8178	
0.035	0.095	0.7902	0.4265	0.3295	0.6042	0.8716	0.933	0.8178	
0.035	0.1	0.7902	0.4265	0.3295	0.6042	0.8716	0.933	0.8178	
0.04	0.01	0.1406	0.231	0.1306	1.0	0.0259	1.0	0.0131	
0.04	0.015	0.1466	0.2323	0.1314	1.0	0.0394	1.0	0.0201	
0.04	0.02	0.1601	0.2352	0.1332	1.0	0.0686	1.0	0.0355	
0.04	0.025	0.3961	0.294	0.1731	0.974	0.4724	0.9877	0.3104	
0.04	0.03	0.696	0.4145	0.2759	0.8333	0.7947	0.9647	0.6757	
0.04	0.035	0.8278	0.5328	0.4101	0.7604	0.8945	0.9593	0.8378	
0.04	0.04	0.8601	0.5574	0.4712	0.6823	0.9169	0.9495	0.8865	
0.04	0.045	0.8608	0.5348	0.4704	0.6198	0.9181	0.9408	0.8965	
0.04	0.05	0.8615	0.5275	0.4713	0.599	0.9188	0.9381	0.9004	
0.04	0.055	0.8601	0.5163	0.4664	0.5781	0.9182	0.9351	0.9019	
0.04	0.06	0.8574	0.5023	0.4573	0.5573	0.9168	0.9322	0.9019	
0.04	0.065	0.8568	0.4988	0.4549	0.5521	0.9164	0.9314	0.9019	
0.04	0.07	0.8561	0.4953	0.4526	0.5469	0.9161	0.9307	0.9019	
0.04	0.075	0.8568	0.4965	0.4545	0.5469	0.9165	0.9307	0.9027	
0.04	0.08	0.8568	0.4965	0.4545	0.5469	0.9165	0.9307	0.9027	
0.04	0.085	0.8561	0.4929	0.4522	0.5417	0.9161	0.93	0.9027	
0.04	0.09	0.8554	0.4893	0.4498	0.5365	0.9158	0.9293	0.9027	
0.04	0.095	0.8554	0.4893	0.4498	0.5365	0.9158	0.9293	0.9027	
0.04	0.1	0.8554	0.4893	0.4498	0.5365	0.9158	0.9293	0.9027	
0.045	0.01	0.1406	0.231	0.1306	1.0	0.0259	1.0	0.0131	
0.045	0.015	0.1473	0.2324	0.1315	1.0	0.0408	1.0	0.0208	
0.045	0.02	0.1607	0.2353	0.1333	1.0	0.07	1.0	0.0363	
0.045	0.025	0.3981	0.2947	0.1736	0.974	0.4751	0.9878	0.3127	
0.045	0.03	0.7115	0.4257	0.2865	0.8281	0.8074	0.9646	0.6942	
0.045	0.035	0.8547	0.5697	0.4613	0.7448	0.9126	0.9584	0.871	
0.045	0.04	0.8904	0.6053	0.5656	0.651	0.9364	0.9471	0.9259	
0.045	0.045	0.8897	0.5707	0.5737	0.5677	0.9367	0.936	0.9375	
0.045	0.05	0.8904	0.5583	0.5819	0.5365	0.9374	0.9321	0.9429	
0.045	0.055	0.8877	0.5374	0.574	0.5052	0.9361	0.9279	0.9444	
0.045	0.06	0.885	0.521	0.5636	0.4844	0.9347	0.9251	0.9444	
0.045	0.065	0.8843	0.5169	0.561	0.4792	0.9343	0.9244	0.9444	
0.045	0.07	0.8837	0.5127	0.5583	0.474	0.9339	0.9237	0.9444	
0.045	0.075	0.883	0.5057	0.5563	0.4635	0.9336	0.9224	0.9452	
0.045	0.08	0.8837	0.5071	0.5597	0.4635	0.934	0.9224	0.9459	
0.045	0.085	0.883	0.5029	0.557	0.4583	0.9337	0.9217	0.9459	
0.045	0.09	0.8823	0.4986	0.5541	0.4531	0.9333	0.9211	0.9459	
0.045	0.095	0.8823	0.4986	0.5541	0.4531	0.9333	0.9211	0.9459	
0.045	0.1	0.8823	0.4986	0.5541	0.4531	0.9333	0.9211	0.9459	
